Area,Setor,Municipio,Empregados
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Piracicaba,46161
Educação,Serviços,Franca,45434
Serviços,Serviços,Franca,45434
Saúde e bem-estar,Serviços,Franca,45434
"Agricultura, silvicultura, pesca e veterinária",Serviços,Franca,45434
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Franca,45434
"Ciências naturais, matemática e estatística",Serviços,Franca,45434
"Negócios, administração e direito",Serviços,Franca,45434
"Ciências sociais, comunicação e informação",Serviços,Franca,45434
Artes e humanidades,Serviços,Franca,45434
"Negócios, administração e direito",Comércio,Santo André,44509
Serviços,Comércio,Santo André,44509
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Santo André,44509
"Ciências naturais, matemática e estatística",Comércio,Santo André,44509
"Negócios, administração e direito",Comércio,São José dos Campos,44454
Serviços,Comércio,São José dos Campos,44454
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,São José dos Campos,44454
"Ciências naturais, matemática e estatística",Comércio,São José dos Campos,44454
Educação,Serviços,Marília,43585
Serviços,Serviços,Marília,43585
Saúde e bem-estar,Serviços,Marília,43585
"Agricultura, silvicultura, pesca e veterinária",Serviços,Marília,43585
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Marília,43585
"Ciências naturais, matemática e estatística",Serviços,Marília,43585
"Negócios, administração e direito",Serviços,Marília,43585
"Ciências sociais, comunicação e informação",Serviços,Marília,43585
Artes e humanidades,Serviços,Marília,43585
Educação,Serviços,Indaiatuba,43549
Serviços,Serviços,Indaiatuba,43549
Saúde e bem-estar,Serviços,Indaiatuba,43549
"Agricultura, silvicultura, pesca e veterinária",Serviços,Indaiatuba,43549
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Indaiatuba,43549
"Ciências naturais, matemática e estatística",Serviços,Indaiatuba,43549
"Negócios, administração e direito",Serviços,Indaiatuba,43549
"Ciências sociais, comunicação e informação",Serviços,Indaiatuba,43549
Artes e humanidades,Serviços,Indaiatuba,43549
Educação,Serviços,Limeira,43484
Serviços,Serviços,Limeira,43484
Saúde e bem-estar,Serviços,Limeira,43484
"Agricultura, silvicultura, pesca e veterinária",Serviços,Limeira,43484
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Limeira,43484
"Ciências naturais, matemática e estatística",Serviços,Limeira,43484
"Negócios, administração e direito",Serviços,Limeira,43484
"Ciências sociais, comunicação e informação",Serviços,Limeira,43484
Artes e humanidades,Serviços,Limeira,43484
Educação,Serviços,Mauá,43429
Serviços,Serviços,Mauá,43429
