Curso,Instituicao,Estado,Ano,Taxa
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,Distrito Federal,2022,98.7
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,Amazonas,2022,98.7
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,Goiás,2022,98.7
LETRAS,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2022,98.7
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,98.7
PEDAGOGIA,CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ,Santa Catarina,2022,98.7
PEDAGOGIA,CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ,Santa Catarina,2023,98.7
NUTRIÇÃO,Centro Universitário Zarns - Salvador,Bahia,2021,98.7
NUTRIÇÃO,Centro Universitário Zarns - Salvador,Bahia,2023,98.7
NUTRIÇÃO,Centro Universitário Zarns - Salvador,Bahia,2022,98.7
PEDAGOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,98.6
PEDAGOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,98.6
PEDAGOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,98.6
LETRAS - PORTUGUÊS E INGLÊS,UNIVERSIDADE PAULISTA,São Paulo,2022,98.6
LETRAS - PORTUGUÊS E INGLÊS,UNIVERSIDADE PAULISTA,Distrito Federal,2022,98.6
LETRAS - PORTUGUÊS E INGLÊS,UNIVERSIDADE PAULISTA,Amazonas,2022,98.6
LETRAS - PORTUGUÊS E INGLÊS,UNIVERSIDADE PAULISTA,Goiás,2022,98.6
ADMINISTRAÇÃO,FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM,São Paulo,2022,98.6
ADMINISTRAÇÃO,FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM,São Paulo,2023,98.6
ADMINISTRAÇÃO,FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM,São Paulo,2021,98.6
ADMINISTRAÇÃO,FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM,São Paulo,2020,98.6
LOGÍSTICA,CENTRO UNIVERSITÁRIO DOS GUARARAPES,Pernambuco,2020,98.6
LOGÍSTICA,CENTRO UNIVERSITÁRIO DOS GUARARAPES,Pernambuco,2022,98.6
LOGÍSTICA,CENTRO UNIVERSITÁRIO DOS GUARARAPES,Pernambuco,2023,98.6
DIREITO,FACULDADE FOZ DO IGUAÇU,Paraná,2023,98.6
DIREITO,FACULDADE FOZ DO IGUAÇU,Paraná,2022,98.6
LOGÍSTICA,CENTRO UNIVERSITÁRIO DOS GUARARAPES,Pernambuco,2021,98.6
PEDAGOGIA,FACULDADE ANHANGUERA UNIDADE GUARAPARI,Espírito Santo,2023,98.6
PEDAGOGIA,FACULDADE ANHANGUERA UNIDADE GUARAPARI,Espírito Santo,2022,98.6
SERVIÇO SOCIAL,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Rio de Janeiro,2023,98.6
ENFERMAGEM,FACULDADE DA SEUNE,Alagoas,2023,98.6
SERVIÇO SOCIAL,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Rio de Janeiro,2022,98.6
ENGENHARIA CIVIL,FACULDADE UNIBRAS DO NORTE GOIANO,Goiás,2023,98.6
NUTRIÇÃO,Centro Universitário Estácio da Bahia,Bahia,2023,98.6
PEDAGOGIA,FACULDADE DA FRATERNIDADE DE VALENÇA,Bahia,2022,98.6
PEDAGOGIA,FACULDADE DA FRATERNIDADE DE VALENÇA,Bahia,2021,98.6
PEDAGOGIA,FACULDADE DA FRATERNIDADE DE VALENÇA,Bahia,2023,98.6
CIÊNCIAS ECONÔMICAS,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2020,98.5
FISIOTERAPIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,98.5
FISIOTERAPIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,98.5
MÚSICA,FIAM-FAAM - CENTRO UNIVERSITÁRIO,São Paulo,2020,98.5
MÚSICA,FIAM-FAAM - CENTRO UNIVERSITÁRIO,São Paulo,2021,98.5
MÚSICA,FIAM-FAAM - CENTRO UNIVERSITÁRIO,São Paulo,2023,98.5
MÚSICA,FIAM-FAAM - CENTRO UNIVERSITÁRIO,São Paulo,2022,98.5
FARMÁCIA,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2023,98.5
FISIOTERAPIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,98.5
ENGENHARIA CIVIL,FACULDADE ANHANGÜERA DE SOROCABA,São Paulo,2020,98.5
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO DOM PEDRO II,Bahia,2023,98.5
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO DOM PEDRO II,Bahia,2021,98.5
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO DOM PEDRO II,Bahia,2022,98.5
FISIOTERAPIA,Centro Universitário Zarns - Salvador,Bahia,2022,98.5
FISIOTERAPIA,Centro Universitário Zarns - Salvador,Bahia,2023,98.5
SERVIÇO SOCIAL,FACULDADE ANHANGUERA DE SÃO BERNARDO,São Paulo,2023,98.4
SERVIÇO SOCIAL,FACULDADE ANHANGUERA DE SÃO BERNARDO,São Paulo,2021,98.4
SERVIÇO SOCIAL,FACULDADE ANHANGUERA DE SÃO BERNARDO,São Paulo,2022,98.4
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,98.4
DIREITO,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,98.4
DIREITO,FACULDADE DE EDUCAÇÃO DE PORTO VELHO,Rondônia,2023,98.4
CIÊNCIAS CONTÁBEIS,UNIVERSIDADE CEUMA,Maranhão,2022,98.4
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,São Paulo,2023,98.4
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,Distrito Federal,2023,98.4
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,Amazonas,2023,98.4
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,Goiás,2023,98.4
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,98.4
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,98.4
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,São Paulo,2022,98.4
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,Distrito Federal,2022,98.4
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,Amazonas,2022,98.4
ESTÉTICA E COSMÉTICA,UNIVERSIDADE PAULISTA,Goiás,2022,98.4
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,98.4
DIREITO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,Paraná,2022,98.4
DIREITO,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,Paraná,2023,98.4
DIREITO,FACULDADE DE EDUCAÇÃO DE PORTO VELHO,Rondônia,2021,98.4
CIÊNCIAS CONTÁBEIS,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Rio de Janeiro,2023,98.4
CIÊNCIAS CONTÁBEIS,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Rio de Janeiro,2021,98.4
CIÊNCIAS CONTÁBEIS,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Rio de Janeiro,2022,98.4
DIREITO,FACULDADE DE EDUCAÇÃO DE PORTO VELHO,Rondônia,2022,98.4
EDUCAÇÃO FÍSICA,Centro Universitário UniBRAS Rio Verde,Goiás,2022,98.4
EDUCAÇÃO FÍSICA,Centro Universitário UniBRAS Rio Verde,Goiás,2023,98.4
EDUCAÇÃO FÍSICA,Centro Universitário UniBRAS Rio Verde,Goiás,2021,98.4
SISTEMAS DE INFORMAÇÃO,Centro Universitário Zarns - Salvador,Bahia,2023,98.4
EDUCAÇÃO FÍSICA,Centro Universitário de Excelência Eniac,São Paulo,2023,98.4
EDUCAÇÃO FÍSICA,Centro Universitário de Excelência Eniac,São Paulo,2020,98.4
